time_s,load_MW,measured_frequency_Hz,model_frequency_Hz,measured_electrical_power_MW,model_electrical_power_MW,measured_gate_pu,model_gate_pu,measured_flow_m3s,model_flow_m3s,measured_penstock_inlet_Pa,measured_penstock_outlet_Pa,frequency_residual_Hz,power_residual_MW
31.55,75.01021670709162,50.05282213893732,50.04704799292533,75.10508126768495,75.08079830999087,0.5358699306081007,0.535263941034667,22.022053133321652,21.98869321666627,3.7395165018352848e6,3.7354596649454255e6,0.005774146011994219,0.024282957694083507
31.6,75.0224721252969,50.04638002514569,50.04359091374347,75.10219127184301,75.08787808752163,0.5362899749099111,0.5353523787664173,22.0278211988359,21.991857871761102,3.7395084898966816e6,3.735278853877787e6,0.002789111402215383,0.014313184321380845
31.65,75.0293359950523,50.043877923289614,50.04015550771905,75.1030663897697,75.0895928166664,0.5361756493083693,0.5354438946243403,22.03073698732661,21.995155909107122,3.7394388841768573e6,3.7350937978502987e6,0.003722415570564408,0.013473573103297554
31.7,75.03135217334496,50.041704690358536,50.03676745436694,75.1052349072049,75.08652640968741,0.5360667587215234,0.5355382238175259,22.03919818234377,21.998584130158978,3.739387001529894e6,3.734917690432959e6,0.004937235991597788,0.018708497517494038
31.75,75.02928945960835,50.03911546930567,50.03344943713427,75.12110092978136,75.07948320962849,0.5363562884342897,0.5356350585051701,22.040626294709533,22.002137218434097,3.739331645402203e6,3.73481679064866e6,0.005666032171397717,0.04161772015287113
31.8,75.02408512323079,50.038265293326894,50.030220484620955,75.0992782758596,75.06943040744414,0.5364891807424611,0.5357340533139882,22.04361280536694,22.00580780556865,3.7392681490919716e6,3.7346835447861603e6,0.008044808705939488,0.029847868415458834
31.85,75.01677845079233,50.032642309582585,50.02709475998917,75.0872386440408,75.05742968293801,0.5369424730430176,0.5358348412218746,22.047236717406708,22.009586684933108,3.7392841931682616e6,3.7345629334495156e6,0.005547549593416079,0.029808961102787634
31.9,75.00843888018285,50.02779138102164,50.02408159516424,75.02945333160818,75.04456533736312,0.5365555554465615,0.5359370476113314,22.04954842786145,22.013463143039257,3.739258329204096e6,3.7344983599991566e6,0.003709785857402892,-0.015112005754943425
31.95,75.00009363219628,50.026478310657474,50.02118544692916,75.01725992999482,75.03187184226282,0.5365444666149476,0.5360403044876563,22.051627569046016,22.017425363799727,3.739245879617402e6,3.7344400717487987e6,0.005292863728314501,-0.014611912267994853
32.0,74.99265975876956,50.02685520453785,50.01840614225702,75.0468433158494,75.0202662700446,0.5372765255497927,0.5361442584104864,22.06292564757536,22.021460753303572,3.7392210110218893e6,3.7344686060639704e6,0.008449062280831754,0.02657704580479958
