t,H_m,gate_pu,Q_measured_m3s,Q_model_m3s,P_measured_MW,P_model_MW,rolling_RMSE_Q_m3s,rolling_RMSE_P_MW,rolling_REL_RMSE_Q_pct,rolling_REL_RMSE_P_pct,model_health,static_upward_headroom_MW,screening_fcr_MW,trusted_screening_fcr_MW
76.0,392.85910527131506,0.0,0.10184470915767635,NaN,-0.2304508171136383,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
77.0,392.86220495183574,0.0,0.10198992571157327,NaN,-0.23032966997431936,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
78.0,392.866442854579,0.0,0.1014373457778824,NaN,-0.22980821054855452,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
79.0,392.87139202803513,0.0,0.10074901215132698,NaN,-0.22964492527382008,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
80.0,392.87448843197967,0.0,0.10018251925438848,NaN,-0.2299030213532389,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
81.0,392.87937389467703,0.0,0.10060773419364354,NaN,-0.2299188231540196,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
82.0,392.8812267582033,0.0,0.10120312717968091,NaN,-0.23023485916963454,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
83.0,392.886074153918,0.0,0.10175637207117408,NaN,-0.2303788311323035,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
84.0,392.8886785177125,0.0,0.10201744473446744,NaN,-0.23026470701555363,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
85.0,392.89080772509067,0.0,0.10236649643006186,NaN,-0.23019623254550378,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
86.0,392.89435378249664,0.0,0.1021484414215157,NaN,-0.23042096926771885,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
87.0,392.8976626117763,0.0,0.1018831232584078,NaN,-0.23056318547474555,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
88.0,392.8970387823822,0.0,0.10252450063400255,NaN,-0.23104250676509488,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
89.0,392.89798386509796,0.0,0.10344439302755033,NaN,-0.23132167191222153,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
90.0,392.9016710535244,0.0,0.10384996613633818,NaN,-0.23128304528809074,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
91.0,392.90095972414696,0.0,0.10256951316215657,NaN,-0.2313322064460753,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
92.0,392.90116491103373,0.0,0.10237887487530423,NaN,-0.2314164827169059,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
93.0,392.90154175292605,0.0,0.10168066918291502,NaN,-0.23113556181413708,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
94.0,392.9028390258603,0.0,0.10159089987960784,NaN,-0.23100563589660647,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
95.0,392.9022942738773,0.0,0.10152813809319307,NaN,-0.23120754779547167,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
96.0,392.9004841457922,0.0,0.10183243301363434,NaN,-0.2311847229721216,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
