t,p_in,p_out,h_tailwater_m,H,Q,dm,omega,omega_pu,tau_o,P_elec,P_mech,eta,n_rpm,P_elec_MW
52,4.0179752817916167e6,164686.11317665048,24.88768941827101,392.7919641809344,0.10216900396278607,102.16900396278606,38.74648162944348,0.9866710525992393,0.0,-231063.57583280263,-234582.31049015495,NaN,370.0016447247147,-0.23106357583280263
53,4.017979560786152e6,164689.32769079463,24.887700478921712,392.79207269065824,0.10196675448969399,101.96675448969398,38.74648313062212,0.9866710908264393,0.0,-230988.07834018348,-234505.6632895264,NaN,370.00165905991474,-0.23098807834018348
54,4.017992216967179e6,164693.33291863944,24.887429800219792,392.79295454113554,0.10188163989100273,101.88163989100272,38.74648541455819,0.9866711489863939,0.0,-231218.08232932538,-234739.1698774877,NaN,370.0016808698977,-0.2312180823293254
55,4.018000955758841e6,164697.11522013787,24.887153898432828,392.793459789878,0.10155703818229198,101.55703818229198,38.74648728030878,0.9866711964973426,0.0,-231137.31756977935,-234657.17519774553,NaN,370.00169868650346,-0.23113731756977934
56,4.0180080070597003e6,164701.5663006758,24.8869475865732,392.79372484801473,0.10180828993035174,101.80828993035173,38.74648741970394,0.9866712000470111,0.0,-231051.28554330638,-234569.83303888974,NaN,370.00170001762916,-0.23105128554330637
57,4.0180042704729224e6,164705.5717612205,24.88686401721234,392.7929356484915,0.1020402579021455,102.04025790214551,38.74648572551662,0.9866711569048853,0.0,-230859.90817829504,-234375.54129776146,NaN,370.001683839332,-0.23085990817829505
58,4.0180280761467614e6,164708.50796648112,24.886802876393183,392.7950630153191,0.10225422086267767,102.25422086267767,38.746488341856534,0.9866712235294341,0.0,-230463.10740313417,-233972.6978712022,NaN,370.0017088235378,-0.23046310740313417
59,4.0180458550677295e6,164710.29044645387,24.886788436099202,392.7966936413125,0.10207273853325666,102.07273853325665,38.746489542799445,0.9866712541111943,0.0,-230568.45274167243,-234079.64745347455,NaN,370.00172029169784,-0.23056845274167242
60,4.0180779776605275e6,164709.74662717246,24.886850805879554,392.8000235508007,0.10209611435753664,102.09611435753663,38.74648889943717,0.9866712377281084,0.0,-230596.54483194934,-234108.16734208056,NaN,370.00171414804066,-0.23059654483194936
61,4.0180897900961526e6,164708.23198459492,24.88681147912149,392.8013820704952,0.10202583343289615,102.02583343289615,38.74648827752031,0.9866712218911255,0.0,-230312.1124178959,-233819.40346994507,NaN,370.0017082091721,-0.2303121124178959
62,4.0181247452628e6,164704.2753909947,24.88684143505048,392.8053486107854,0.10277917947227404,102.77917947227404,38.74648629381996,0.9866711713766111,0.0,-230229.59190270744,-233735.6262971649,NaN,370.00168926622916,-0.23022959190270745
63,4.0181466223757197e6,164699.46618556418,24.886838055407225,392.8080689286601,0.10342915014869818,103.42915014869817,38.74648672272814,0.9866711822986682,0.0,-230338.4487525304,-233846.14086551312,NaN,370.0016933620006,-0.2303384487525304
64,4.0181592182892184e6,164693.5046510442,24.886933146279237,392.8099606155122,0.10373093868973088,103.73093868973088,38.746486443937826,0.986671175199331,0.0,-229806.4547929119,-233306.04547503748,NaN,370.00169069974913,-0.22980645479291192
65,4.0181904971366148e6,164688.74710495496,24.887230401266866,392.81363405011825,0.10397400634176263,103.97400634176263,38.746485511062524,0.9866711514438566,0.0,-229451.7921531663,-232945.9818813871,NaN,370.00168179144623,-0.2294517921531663
66,4.0182150862883264e6,164683.06736981447,24.88767190557407,392.8167195635588,0.10378040132010014,103.78040132010014,38.74648663694651,0.9866711801142568,0.0,-229722.17852208143,-233220.48580921974,NaN,370.0016925428463,-0.22972217852208143
67,4.0182566106156018e6,164679.21595649468,24.8879186195328,392.8213450213157,0.1035032673683518,103.5032673683518,38.74648597213883,0.9866711631850682,0.0,-229704.6209656584,-233202.660878841,NaN,370.0016861944006,-0.22970462096565838
68,4.018300425108966e6,164674.24967874275,24.888080996029913,392.82631757698505,0.10374991556239581,103.74991556239581,38.74648477119592,0.9866711326033081,0.0,-230298.06637275757,-233805.1435256422,NaN,370.00167472624054,-0.23029806637275757
69,4.0183357418807857e6,164671.19223691997,24.88806517315461,392.830229321495,0.104094517155775,104.09451715577501,38.74648330218538,0.9866710951952622,0.0,-230521.04733933034,-234031.5201414521,NaN,370.0016606982233,-0.23052104733933035
70,4.018360029694853e6,164669.59731293397,24.887952415965504,392.83286772496626,0.10402582189973994,104.02582189973994,38.74648410638823,0.9866711156741194,0.0,-230303.3336396844,-233810.49100475572,NaN,370.0016683777948,-0.2303033336396844
71,4.0183839559037476e6,164667.9132649492,24.887849951326356,392.83547835257883,0.10357319023879107,103.57319023879107,38.74648269099123,0.9866710796313308,0.0,-230331.42572996128,-233839.0108933617,NaN,370.00165486174905,-0.2303314257299613
72,4.0184210204338995e6,164667.6984830935,24.887612915437,392.83927848632067,0.10289206884686034,102.89206884686034,38.746482144133296,0.9866710657057078,0.0,-230092.64296260782,-233596.59184021098,NaN,370.00164963964045,-0.2300926429626078
73,4.0184592903146273e6,164666.57244907418,24.887443472413036,392.84329437977095,0.10241974420484408,102.41974420484408,38.74647976369288,0.9866710050882904,0.0,-230039.97029333867,-233543.1170490748,NaN,370.0016269081089,-0.23003997029333867
74,4.0185223301496506e6,164666.887291816,24.887568980074487,392.849688364713,0.10182435121880669,101.82435121880668,38.7464798065837,0.9866710061804962,0.0,-230494.7110046958,-234004.78274588406,NaN,370.0016273176861,-0.2304947110046958
75,4.018574220491864e6,164666.54708480294,24.88778527724378,392.8550125797208,0.10173959467431666,101.73959467431666,38.746479731524765,0.9866710042691361,0.0,-230759.83010668395,-234273.939194603,NaN,370.00162660092604,-0.23075983010668394
76,4.0186157448191396e6,164667.92210753914,24.888009869901097,392.85910527131506,0.10184470915767635,101.84470915767635,38.74647859491808,0.9866709753256846,0.0,-230450.8171136383,-233960.22041993737,NaN,370.0016157471317,-0.2304508171136383
77,4.0186465415263055e6,164668.31094879692,24.888408514186832,392.86220495183574,0.10198992571157327,101.98992571157326,38.74647959212961,0.9866710007194676,0.0,-230329.66997431937,-233837.22840032424,NaN,370.00162526980034,-0.23032966997431936
78,4.0186904162872e6,164670.61188378005,24.888554453328045,392.866442854579,0.1014373457778824,101.4373457778824,38.746480342718925,0.9866710198330676,0.0,-229808.21054855452,-233307.82796807567,NaN,370.00163243740036,-0.22980821054855452
79,4.0187402575334376e6,164671.9017384132,24.888748629195945,392.87139202803513,0.10074901215132698,100.74901215132698,38.746480514282204,0.9866710242018906,0.0,-229644.9252738201,-233142.0561155534,NaN,370.001634075709,-0.22964492527382008
